index_num,ra,dec,conf,objID,distance,type,ra_crossmatched,dec_crossmatched
68,356.1706,-0.5388778,0.670441,1.24E+18,0.028891453,3,356.1707536,-0.539341551
69,358.8239,-0.4915754,0.661002,1.24E+18,0.032592588,3,358.8233992,-0.491874686
70,359.4211,-0.5782362,0.731099,1.24E+18,0.029077515,3,359.4205992,-0.578411468
71,0.9977962,-0.4159476,0.700495,1.24E+18,0.038484849,3,0.99716177,-0.416041846
72,2.448424,-0.4313063,0.688911,1.24E+18,0.015442724,3,2.44823584,-0.431481782
73,4.556136,-0.4248544,0.729713,1.24E+18,0.023864582,3,4.555820319,-0.425096229
74,5.974931,-0.5333939,0.725741,1.24E+18,0.022913449,3,5.974597406,-0.533580202
75,6.898203,-0.5156331,0.679431,1.24E+18,0.02733301,3,6.897996019,-0.515227478
76,6.826631,-0.5653692,0.751257,1.24E+18,0.034953495,3,6.826103474,-0.565121161
77,8.00274,-0.4703841,0.771449,1.24E+18,0.027918428,3,8.002363365,-0.470657472
78,9.498273,-0.5994621,0.658847,1.24E+18,0.021477319,3,9.497950005,-0.599616639
79,11.34237,-0.4349484,0.746282,1.24E+18,0.01061933,3,11.34225204,-0.435076796
80,12.30372,-0.4089449,0.743883,1.24E+18,0.006678701,3,12.30366374,-0.408848063
81,12.3035,-0.3997034,0.783895,1.24E+18,0.0503234,3,12.30299676,-0.400377082
82,12.82627,-0.4880367,0.71957,1.24E+18,0.009824579,3,12.82615356,-0.488146673
83,12.88942,-0.5451351,0.749492,1.24E+18,0.020695431,3,12.88911389,-0.54530201
84,15.92242,-0.6118696,0.659932,1.24E+18,0.018159909,3,15.92221826,-0.612091338
85,19.2886,-0.44653,0.653416,1.24E+18,0.020941244,3,19.28837513,-0.446797799
86,20.12458,-0.5309293,0.766514,1.24E+18,0.035290483,3,20.123998,-0.530997067
87,24.90013,-0.5232639,0.789524,1.24E+18,0.036335064,3,24.89972821,-0.522810213
88,26.02131,-0.6058874,0.706653,1.24E+18,0.036437565,3,26.02088249,-0.606323517
89,28.54983,-0.5958526,0.720432,1.24E+18,0.015218632,3,28.54964256,-0.596021908
90,29.25026,-0.4038628,0.704278,1.24E+18,0.020271679,3,29.25002868,-0.404111393
91,31.75558,-0.5025167,0.770846,1.24E+18,0.01954592,3,31.75558439,-0.502191026
92,32.75655,-0.5464576,0.749346,1.24E+18,0.031211032,3,32.75602588,-0.546449184
94,34.18154,-0.5633901,0.782775,1.24E+18,0.019655899,3,34.18123368,-0.563502389
95,35.62733,-0.6137236,0.843833,1.24E+18,0.114342365,3,35.62654193,-0.615456628
96,36.28846,-0.5261922,0.65656,1.24E+18,0.017407823,3,36.28832354,-0.525938155
97,37.32377,-0.4630591,0.793266,1.24E+18,0.021120652,3,37.32343326,-0.462952063
98,39.20484,-0.4937489,0.771384,1.24E+18,0.029850253,3,39.2046784,-0.494218904
99,41.54249,-0.4488377,0.780077,1.24E+18,0.010497056,3,41.54265184,-0.448776044
100,44.1058,-0.5072626,0.779777,1.24E+18,0.061591055,3,44.10480228,-0.507040139
101,47.81138,-0.53631,0.79087,1.24E+18,0.04016547,3,47.81139979,-0.536979213
103,52.48846,-0.5288943,0.662655,1.24E+18,0.016089781,3,52.48846206,-0.529162415
104,55.32586,-0.4414859,0.699646,1.24E+18,0.030031077,3,55.32550241,-0.441130909
105,55.61723,-0.4293302,0.694115,1.24E+18,0.017138111,3,55.61697071,-0.429442676
106,336.9235,-0.1513989,0.728751,1.24E+18,0.02454839,3,336.9230914,-0.151317746
107,340.2704,-0.07254493,0.802498,1.24E+18,0.0342488,3,340.2697844,-0.072539336
108,341.3396,-0.1297708,0.736942,1.24E+18,0.019737913,3,341.3393518,-0.129554444
109,341.8913,-0.04163945,0.720966,1.24E+18,0.005570049,3,341.8912914,-0.041550209
110,343.7421,-0.05332445,0.785918,1.24E+18,0.014016232,3,343.7418997,-0.05345123
111,344.5455,-0.00761117,0.734125,1.24E+18,0.020891393,3,344.5452288,-0.007394952
112,346.0488,0.01449113,0.721758,1.24E+18,0.0190117,3,346.0485619,0.014319324
113,346.4186,-0.139458,0.783798,1.24E+18,0.028405252,3,346.4181406,-0.139393646
114,346.5463,-0.1673944,0.719709,1.24E+18,0.022637758,3,346.5459837,-0.16760738
117,353.017,-0.1328909,0.677364,1.24E+18,0.027510407,3,353.0165173,-0.132976324
118,354.5604,-0.1845453,0.681225,1.24E+18,0.023033226,3,354.5601809,-0.184841722
119,357.4577,-0.02674716,0.749922,1.24E+18,0.025894933,3,357.4572619,-0.026881216
120,358.0905,-0.04993044,0.742524,1.24E+18,0.0204656,3,358.090181,-0.050134744
121,0.350664,-0.08446956,0.738385,1.24E+18,0.018746967,3,0.350367993,-0.084569435
122,2.63096,-0.04271152,0.717302,1.24E+18,0.016078233,3,2.631138307,-0.042911545
123,3.335507,-0.06954022,0.674335,1.24E+18,0.011288542,3,3.335373801,-0.069407259
124,3.557904,-0.2004145,0.673663,1.24E+18,0.014601796,3,3.557664679,-0.200456005
125,3.813331,-0.0834772,0.770695,1.24E+18,0.0310808,3,3.812852256,-0.083674736
126,4.030377,0.0059691,0.71791,1.24E+18,0.027255695,3,4.030030998,0.005675216
127,4.821805,-0.05374208,0.761019,1.24E+18,0.029328696,3,4.821964079,-0.054204283
128,9.295892,-0.06652921,0.725597,1.24E+18,0.03290498,3,9.29536932,-0.066695988
129,10.8861,-0.05055727,0.768145,1.24E+18,0.019172696,3,10.88578502,-0.05060638
130,11.78373,-0.1360858,0.695187,1.24E+18,0.029135427,3,11.78335219,-0.136385416
131,12.15742,-0.1919559,0.738553,1.24E+18,0.005938929,3,12.15734981,-0.192023575
132,12.95707,-0.1873239,0.689073,1.24E+18,0.033200479,3,12.9568125,-0.186833261
133,14.43544,-0.08822901,0.670192,1.24E+18,0.013380354,3,14.43541906,-0.088450834
134,15.74582,-0.1074014,0.740302,1.24E+18,0.023291471,3,15.7454649,-0.107562408
135,18.24934,-0.1540607,0.698964,1.24E+18,0.008671434,3,18.24931147,-0.153919391
136,18.89315,-0.09356866,0.821425,1.24E+18,0.018362933,3,18.89284514,-0.093527616
137,19.70144,-0.1563838,0.727277,1.24E+18,0.01769983,3,19.70117784,-0.156257937
139,20.97761,-0.1537336,0.695784,1.24E+18,0.025824628,3,20.97719354,-0.153857215
140,20.97352,-0.08465405,0.753256,1.24E+18,0.030195718,3,20.97348332,-0.085156217
141,21.31246,-0.09698273,0.662652,1.24E+18,0.027577429,3,21.31213383,-0.097302729
142,22.07322,-0.1314744,0.773984,1.24E+18,0.019293843,3,22.07292228,-0.131342339
143,22.54661,-0.1710793,0.78355,1.24E+18,0.015877952,3,22.54664951,-0.171340645
144,23.65584,-0.02328379,0.677269,1.24E+18,0.019584832,3,23.6555909,-0.023499242
145,23.86275,-0.1986177,0.659213,1.24E+18,0.026154316,3,23.86231873,-0.198697864
146,24.04506,-0.128325,0.737412,1.24E+18,0.013090734,3,24.04483914,-0.128322176
147,28.76501,0.01310849,0.842898,1.24E+18,0.032171951,3,28.76499609,0.012572549
148,29.02683,-0.00735894,0.704302,1.24E+18,0.022817931,3,29.02653483,-0.007595517
149,30.79868,-0.09311196,0.778613,1.24E+18,0.026775501,3,30.79823249,-0.093146017
150,33.5014,-0.07363602,0.704662,1.24E+18,0.021036655,3,33.50110935,-0.073439921
151,34.70508,0.00109862,0.740878,1.24E+18,0.043466821,3,34.70541505,0.001741938
152,36.99113,-0.1288891,0.704652,1.24E+18,0.018047824,3,36.99091012,-0.129089265
153,37.04354,0.01477339,0.738516,1.24E+18,0.019600591,3,37.04333061,0.014523443
154,38.22918,-0.01818415,0.713489,1.24E+18,0.012143926,3,38.22899491,-0.018258401
155,38.34216,-0.151619,0.673132,1.24E+18,0.008691378,3,38.34205208,-0.151716447
156,38.547,0.01095754,0.776212,1.24E+18,0.020676279,3,38.5467589,0.010708488
157,39.17725,-0.01712728,0.728863,1.24E+18,0.051884361,3,39.17800484,-0.016705548
158,49.04819,-0.08434881,0.69466,1.24E+18,0.023567888,3,49.04782808,-0.08450782
159,50.98247,-0.0418033,0.784248,1.24E+18,0.020614547,3,50.98227468,-0.042084938
160,52.11261,-0.142995,0.74075,1.24E+18,0.010925229,3,52.11243001,-0.142966567
161,52.32384,-0.1009805,0.716194,1.24E+18,0.023629969,3,52.32378104,-0.101369755
162,52.86006,-0.03140137,0.743595,1.24E+18,0.03681099,3,52.85950011,-0.031657002
163,52.99897,-0.1527522,0.737339,1.24E+18,0.009405017,3,52.99889396,-0.152615137
165,337.1225,0.2772221,0.791464,1.24E+18,0.011356063,3,337.1223418,0.277255545
166,341.1816,0.3068214,0.666123,1.24E+18,0.030761961,3,341.1810979,0.30684362
167,341.1436,0.2935055,0.710383,1.24E+18,0.011539936,3,341.143436,0.293656808
168,341.9146,0.3213124,0.747082,1.24E+18,0.020319888,3,341.9143287,0.32112662
169,345.9726,0.2695203,0.725938,1.24E+18,0.023814029,3,345.9722297,0.269545933
170,346.6041,0.4255329,0.748619,1.24E+18,0.012771893,3,346.6040237,0.425346251
171,353.5315,0.2290498,0.690916,1.24E+18,0.015361545,3,353.5312594,0.228895348
172,354.1263,0.3461016,0.65624,1.24E+18,0.023818419,3,354.1259731,0.345895224
173,355.6084,0.2563134,0.71315,1.24E+18,0.019342935,3,355.608468,0.25599334
174,356.3575,0.4310605,0.671187,1.24E+18,0.020559291,3,356.3571276,0.430951377
175,358.8218,0.3320176,0.654741,1.24E+18,0.035641717,3,358.8212318,0.331872649
176,359.5948,0.268043,0.659176,1.24E+18,0.017702871,3,359.5950905,0.268156437
177,4.372025,0.3009264,0.696594,1.24E+18,0.037870459,3,4.372160545,0.301542794
178,4.448888,0.3068717,0.698276,1.24E+18,0.032545414,3,4.448357373,0.306760572
179,4.63307,0.3272273,0.79276,1.24E+18,0.019697871,3,4.632749996,0.32715189
180,4.999934,0.2665232,0.666662,1.24E+18,0.020367702,3,4.999655343,0.266329623
